text,gpt_responses,scope3,vague,file_name
"This is extremely rare for fatalities, but this means that the data could change over time .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"We foster a culture where our employees can thrive, both personally and professionally, and seek to create a work environment that inspires optimism, creativity, collaboration, and innovation.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"Our Supply Management and Logistics teams remain committed to applying the foundational importance of compliance in meeting customer needs.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_2022_results.csv
"Across a range of stakeholder groups, including communities, non governmental organizations, employees and shareholders, we continue to see broad interest in our impact on the communities we serve.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_XOM_2022_results.csv
"For example, by switching to fiber wraps instead of paperboard cartons, McDonald’s Netherlands has saved 500 metric tons of packaging.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_MCD_2022_results.csv
"In fiscal 2022, we launched the Disney Future Storytellers initiative, described in the spotlight on the next page.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_DIS_2022_results.csv
"We aim to deliver responsible sourcing programs that drive lasting, meaningful outcomes on critical environmental, social and corporate issues.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_MCD_2022_results.csv
"The IEA’s NZE scenario  In its 1.5 C scenario, the IEA is aiming for carbon neutrality by 2050, which requires a 39% reduction in net emissions from energy between 2015 and 2030 (from 34 to 21 billion tons of CO2e).
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"This initiative expands exposure for Black talent across the Company and helps to increase representation in senior level roles.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv
"The difference between operating pro t and pretax cost of capital, SVA is a metric used by John Deere to evaluate business results and measure sustainable performance.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"COVID 19 response: Each of our committees continued to provide oversight over their areas of responsibility as it related to the pandemic .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"We educate and engage our athletes to foster a sustainable mindset and adopt sustainable practices and choices in their day to day lives through campus events, sustainability pop ups, lunch and learn sessions and internal communications.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_NKE_2022_results.csv
"Our culture and our purpose embody our proactive, robust, enterprise wide commitment to bringing integrity and quality to everything we do, as we deliver breakthroughs that change patients’ lives.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_PFE_2022_results.csv
"In FY22, NIKE worked with the Responsible Labor Initiative (RLI) to deliver a responsible recruitment post training program to all strategic material suppliers in Taiwan.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"These policies, along with the company’s Code of Business Conduct and other work speci c policies, establish the framework by which we seek to conduct ourselves and our global business in compliance with the law and by which we af rm our commitment to integrity in everything we do.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"McDonald’s System and all McDonald’s restaurants owned and operated by the Company and its Franchisees that sell chicken.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_MCD_2022_results.csv
"Deere corn silage system involves mulching, cover crops, strip till and slurry injection application at once, band spraying, and mechanical weed control.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DE_2022_results.csv
"Franchisees: Collective group of independent individuals and entities owning and operating McDonald’s restaurants under one of the following structures conventional franchise, developmental license or affiliate for more information, please see the Company’s Annual Report.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_MCD_2022_results.csv
"Committee oversees our plans and strategies on climate related issues.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_KO_2022_results.csv
"Acquired a 23% interest in Yunlin, a 640 MW offshore project under construction in Taiwan.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_TTE_2022_results.csv
"Our work philosophy The world of work has changed significantly in the last 2 years, and in response we’ve evolved our work philosophy to reflect all that we’ve learned and what we believe will produce the best results for our employees and our business going forward .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"Advantage Capital’s Empower the Change Fund, in which Deere is a lead investor, made its rst two investments in 2023.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"The site features more than 2,000 m2 of on site solar panels that are expected to generate approximately 330,000 kWh annually enough to cover the site’s daily operational power needs.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_MCD_2022_results.csv
"We have also experienced increased pressure from stakeholders to provide expanded disclosure and establish additional commitments, targets or goals, and take actions to meet them, which could expose us to additional market, operational, execution and reputational costs and risks.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_MCD_2022_results.csv
"We will continue to focus on our engagement with diverse owned suppliers and measuring and reporting on annual progress.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_MCD_2022_results.csv
"To deliver on these priorities, and fully leverage our competitive advantages we continue to evolve our business model and change the way we work and are organized.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_XOM_2022_results.csv
"Recognizing that Scope 3 emissions are the most challenging to quantify due to complex global value chains, inconsistent methodologies, and lack of transparent disclosure, we have launched initiatives to improve our measurement and reporting capabilities and are collaborating with our pharmaceutical peers to align on Scope 3 data collection and emissions calculation methodologies.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous,NYSE_PFE_2022_results.csv
"The use of smartphone technology allows a greater number of workers to be reached and helps ensure that foreign migrant workers with low literacy levels are included in the interview process.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_KO_2022_results.csv
"Support biodiversity awareness among young people and employees and share biodiversity data collected in our environmental studies.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_TTE_2022_results.csv
"Our commitment to human rights requires that we understand and carry out our responsibilities consistent with company values and practices upheld for all employees and workers in our value chain.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DE_2022_results.csv
"Opportunities build on Uber’s sustainability commitments, focusing on customer willingness to pay, better access to financing for decarbonizing companies, and offering green transportation options to position Uber as a climate leader .
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_UBER_2022_results.csv
"Uber’s compliance risk assessment approach involves surveying employees at all levels across the globe to gauge awareness for compliance topics and perceived risk on 18 risk areas .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"It can be hard to cut off completely during the week.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"In Sri Lanka, we responded to the ongoing economic crisis by introducing the Large.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_KO_2022_results.csv
"We recently announced a more focused effort to prioritize the most water stressed regions.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_KO_2022_results.csv
"This framework embeds quality management as an end to end organizational competency, supported by a governance structure with clear policies, communications, and escalation pathways.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"Today, Uber is one of the world’s largest open platforms for work, offering opportunities to earn money in 72 countries and over 10,000 cities .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"Global: Uber is the first and only global mobility tech company to commit 800 million in total resources to help hundreds of thousands of drivers start to switch to EVs .
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_UBER_2022_results.csv
"A new Mobile Cast Compliment feature was introduced in fiscal 2022 in the My Disney Experience and Disneyland mobile apps, enabling guests visiting Walt Disney World and Disneyland Resort to submit digital recognition to cast members who made their visit memorable.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"Booking Holdings set up a Climate Action Plan with SBTi targets and a long term net zero goal in 2022.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NASDAQ_BKNG_2022_results.csv
"We also provide policymakers with updates on our medicines and vaccines to facilitate decision making and improved patient outcomes.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_PFE_2022_results.csv
"We have committed to reducing our own GHG emissions and we are working with our Franchisees and suppliers to support them in doing the same.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous,NYSE_MCD_2022_results.csv
"We have obtained external assurance on select reported metrics (Scope 1 and 2 energy consumption and emissions, renewable energy including direct fuel use and electricity, Scope 3 commercial air travel emissions, and inbound and outbound logistics emissions and cumulative water restoration funding).
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific,NYSE_NKE_2022_results.csv
"Improving Gender Balance and International Diversity Our proactive policy of inclusiveness is designed to ensure that men and women alike, of all nationalities, enjoy the same career opportunities up to the highest levels of management.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_TTE_2022_results.csv
"When I hear people say that I am part of the rise of tennis in China, I am humbled and I don’t take it for granted.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"Winter oilseed cover crop integration helps promote soil health through the establishment of strong root structures in the ground.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DE_2022_results.csv
"While working closely with third party consultants, 46% of our in scope suppliers (51 suppliers) have self assessed their culture and have met our threshold for building safe and healthy workplaces, with mature management systems now covering more than 439,000 workers in our supply chain.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous,NYSE_NKE_2022_results.csv
"This includes penetration of the user’s mouth with a sexual organ or sexual body part .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"And we launched Disney Future Storytellers to increase access to careers in media, entertainment, technology, and hospitality.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"We have seen evidence that helping female entrepreneurs overcome social and economic barriers to success creates a ripple effect in local communities with both societal and commercial impacts.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_KO_2022_results.csv
"We continue to monitor industry standards on these components and opportunities to work toward making any part of our packaging, including non structural components, more sustainable.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_MCD_2022_results.csv
"Reporting on greenhouse gas emissions is inherently subject to limitations on the accuracy of information.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NASDAQ_BKNG_2022_results.csv
"Some materials like leather and mixed materials provide more challenges when it comes to closed loop recycling, but we are continually exploring and testing new innovations.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_NKE_2022_results.csv
"We regularly provide our cast and crew members safety training and information through formal instruction, on the job training, and a structured communications process.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"We also provided development opportunities with external partners.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_NKE_2022_results.csv
"Coca Cola Philippines’ broader economic through business and financial skills training empowerment strategy to break the cycle of programs in Bolivia, Brazil, Chile, Colombia, generational poverty.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_KO_2022_results.csv
"In 2022, this included updates to reflect laws going into effect in 2023 in California, Virginia, Colorado, Utah, and Connecticut.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_DIS_2022_results.csv
"We regularly assess and update our program to meet the requirements of emerging privacy laws and regulations across the world, as well as to keep up with rapid advancements in technology and new business initiatives.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv
"Honduras, Indonesia, Nepal and focus on ensuring sustainable access with local and national organizations the Philippines. to safe drinking water. to develop crisis plans.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_KO_2022_results.csv
"We are also scaling industry tools to capture and assess chemical inventory conformity to the MRSL.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous,NYSE_NKE_2022_results.csv
"We’re helping build bright, safe and inclusive futures by nurturing skills, accelerating equity and respecting human rights, empowering the people and the communities we serve.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_MCD_2022_results.csv
"We inspire a world of belonging through stories and storytellers who reflect the rich diversity of our world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_DIS_2022_results.csv
"Taking a holistic approach that considers everything from housing to humane slaughter, we leverage our global scale in local markets to help drive positive outcomes.
","{'scope3': 'no', 'vague': 'generic'}",no,generic,NYSE_MCD_2022_results.csv
"Cross street pickup and delivery for users who prefer not to input a specific address.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"At that time, Uber announced our commitments to become a more anti racist company .
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_UBER_2022_results.csv
"Ronald McDonald Family Room programs Located within the hospital, this program offers families a place to recharge, rest and have a snack, all within a few steps of their child’s bedside.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_MCD_2022_results.csv
"McDonald’s products sold in restaurants, for example, soy oil.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_MCD_2022_results.csv
"Helped support our Avatar: The Way of Water Keep Our Oceans Amazing initiative by designing almost 4,000 Avatar inspired ocean creatures.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_DIS_2022_results.csv
"Exclusions: Primary fiber based packaging in food packaged off site of McDonald’s restaurants, tray liners and limited locally sourced items.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG,NYSE_MCD_2022_results.csv
"In FY15, we set our RE100 commitment to reach 100% renewable electricity by 2025 in NIKE corporate offices, distribution centers, Air MI and retail locations.
","{'scope3': 'no', 'vague': 'specific'}",no,specific,NYSE_NKE_2022_results.csv
