text,gpt_responses,scope3,vague
"Booking Holdings Inc. (NASDAQ: BKNG) is the world’s leading provider of online travel and related services across more than 220 countries and territories through six primary consumer facing brands: Booking.com, Rentalcars.com, Priceline, Agoda, KAYAK and OpenTable.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our mission is to make it easier for everyone to experience the world.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We believe that by making it easier for everyone to experience the world, we are doing our part to make humanity better.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"While we are committed to doing our best for our customers and partners, we will always strive to do the right thing and achieve success with integrity and accountability.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We are absolutely committed to diverse ideas, people and experiences.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our strength lies in our people, and our success is contingent upon our ability to work as one team to succeed in our mission to make it easier for everyone to experience the world.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Booking.com is a global online leader in connecting millions of travelers with memorable experiences every day.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Rentalcars.com operates as part of Booking.com and offers online rental car reservation services.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Priceline is a leader in online travel, delivering significant savings on millions of hotels, flights, alternative accommodations, rental cars, vacation packages and cruises for over 25 years.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Agoda is a leading global online accommodations provider based in the heart of Asia.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Agoda also offers flight, ground transportation and activities reservation services.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"KAYAK provides comprehensive search results for travelers.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"With thousands of partners across flights, stays and rental cars, KAYAK does the heavy lifting for you by searching and comparing hundreds of sites to help uncover some of the best travel deals across the internet, all in one place.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"OpenTable is a leading brand for booking online restaurant reservations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"OpenTable connects restaurants and diners, helping diners discover and book the perfect table and helping restaurants deliver personalized hospitality to keep guests coming back.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We believe in creating long term value for all our stakeholders, including business partners, communities, customers, employees, governments and regulators, stockholders and vendors.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We aim to generate profitable, sustainable growth to create value across the geographies in which we operate.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We value our relationships with our stakeholders by maintaining ongoing dialogue with them.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"To manage stakeholders’ expectations, we assess sustainability topics that are most impactful to our business.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We conducted our first sustainability materiality assessment in 2020.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"The assessment resulted in the sustainability focus areas deemed the most important to Booking Holdings, listed in alphabetical order below.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Definitions for these topics are included in the About This Report section.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022, we continued engaging with our stakeholders on areas related to these topics, including with respect to our Travel Sustainable program, Human Rights, Animal Welfare and Our Compliance and Ethics program.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our travel provider partners and affiliates are an integral part of our business.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We support them through knowledge sharing, training and workshops, and open communication.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our partner and affiliate programs offer a variety of solutions to meet our partners' business needs.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We undertake volunteering and community initiatives across all our brands.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We support our communities by partnering with relevant organizations for positive social impact.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our employees participated through community engagement programs like Do Good from OpenTable and KAYAK, Agoda's Volunteering and Giving Program, Priceline’s PricelineLift and Booking.com’s Booking.com Cares.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our customers, like our people, are the heart of our business.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We focus on providing them with great deals and an optimized user experience.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"To strengthen our relationship with our customers, we continuously engage with them through loyalty programs and surveys like our Sustainable Travel survey, which give us valuable insights into current consumer trends.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our strong culture emphasizing belonging and inclusion helps us attract and retain top talent globally.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We work in close collaboration with our employees and support them through performance reviews, resource groups, a Compliance Helpline, Global Well being events and Global Ethics Week.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Furthermore, we gather employee feedback through annual engagement and learning and development surveys.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We maintain proactive and transparent relationships with governments, parliaments, regulatory authorities and international organizations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"As a publicly traded company in the U.S., we fulfill our disclosure obligations through public filings of our financial statements on a quarterly and annual basis, and other information required by U.S. securities laws.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We report our advocacy activities to the European Union Transparency Register (and similar public databases) and make positions transparent on a public policy blog.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We annually present our public affairs strategy to our Board of Directors and provide written updates throughout the year as required.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We also participate in parliamentary discussions, consultations, bilateral stakeholder meetings, events, meetings with industry associations, public policy forums, media briefings, conferences and conventions.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Our Investor Relations department coordinates the communication of company performance, outlook, and business strategy, as well as environmental, social and governance (ESG) matters, executive compensation, and tax, legal and regulatory issues with investors.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We update stockholders on our quarterly and annual results through a publicly available webcast, our Annual Stockholders’ Meeting and through direct engagements.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We understand the importance of building strong relationships with our vendors to ensure that we can consistently deliver high quality services to our customers.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Additionally, we have implemented a Third Party Risk Management Program and a Supplier Code of Conduct for our vendors and suppliers.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"To convert our knowledge and ambitions into actions, we engage with international organizations and professional and trade associations.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"These collaborations increase our positive environmental and societal impact, and seek to mitigate negative effects.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We endorse the UN Guiding Principles on Business and Human Rights, as well as the Organization for Economic Cooperation and Development (OECD) G20 Inclusive Framework on Base Erosion and Profit Shifting (BEPS), which combats tax avoidance.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Adigital The App Coalition Asia Internet Coalition Asia Travel and Technology Industry.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Business Roundtable (BRT) Catalyst Centre on Regulation in Europe (CERRE) Digital Switzerland Dutch Startup Association EU ASEAN Business Council EU Tech Alliance EU Travel Tech EuroCham (European Chamber of.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"European Chamber of Commerce Korea EveryWoman Global Sustainable Tourism Council (GSTC) Internet and Mobile Association of India Japan Association of Vacation Rentals NL AI Coalition NL Digital Tech UK Travalyst The Travel Technology Association TravelFairnessNow.org Stichting Amsterdam Economic Board Syntec Numerique UN World Tourism Organization (UN WTO) US ASEAN Business Council.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We understand that as a leading global travel company, we have the unique opportunity to lead and support positive changes throughout the industry.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our approach to sustainability reflects the natural extension of our mission to make it easier for everyone to experience the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our strategy adopts a phased approach, primarily focusing on environmental sustainability of our own operations and those of our travel provider partners, where we have the potential to make a significant impact, and is an area of interest to many stakeholders.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"We are committed to sustainability efforts that will further our mission, including initiatives to promote sustainable tourism, act as responsible environmental stewards and further decarbonize the travel industry.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our vision is to make sustainable travel the way to experience the world.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We have high expectations of our travel provider partners but will not set a higher bar for them than for ourselves.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We strive to lead by example by setting carbon reduction targets in line with climate science guidance and by empowering our people to make sustainable choices in their day to day work.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We plan to lead the way through the sustainable operation of our own company by reducing our operational emissions and managing unavoidable emissions in an efficient manner.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In 2022, we have committed to a net zero target by 2040, in line with the Science Based Targets initiative (SBTi) criteria for a 1.5 C future.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Using 2019 as a baseline, we utilized SBTi criteria to develop our near term and net zero target across Scope 1, 2 and 3.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"We are currently in the validation process of our targets with the SBTi.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Booking Holdings is committed to reducing our Scope 1 and 2 emissions by 95% by the end of 2030.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We measure our carbon footprint by looking first at our direct and indirect emissions resulting from our own operations and purchased energy.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"At the end of 2022, we are pleased to report that we have reduced our Scope 1 emissions, or the direct emissions from owned or controlled sources, and Scope 2 emissions, or the indirect emissions from the generation of purchased energy, by 80% from the 2019 baseline.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Our new Booking.com campuses in Amsterdam and Manchester can host approximately 8,000 employees and are both Building Research Establishment Environmental Assessment Methodology (BREEAM) Excellent certified.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In Amsterdam, we have over 800 solar panels on site, which will generate roughly 8% of the consumed electricity on the campus.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We have set a target reduction of 50% in Scope 3 emissions by 2030.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Our Scope 3 emissions, or the indirect emissions generated within our supply chain, which excludes our travel provider partners, account for 97% of our total footprint.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"These emissions are broken out into Purchased Goods and Services, Business Travel and Employee Commuting.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"The increase in Scope 3 emissions compared to the previous year can be mainly attributed to a higher expenditure on goods and services, such as marketing.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"To continue to build a culture of sustainability, we have launched a Climate Awareness and Education virtual learning program at Booking.com, which is accessible to all employees, including our leadership team.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We will launch this program across all Booking Holdings brands in 2023.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"To learn more about the actions we are taking to operate our business and build a culture of sustainability, see our Climate Action Plan on pages 26 29.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our primary goal is to reduce our own emissions in order to reach our net zero target by 2040.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"While we continuously strive to reduce our emissions, we understand that utilizing offsets where reduction is not possible can be a crucial step in taking immediate action for the betterment of the environment.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We look to offset emissions through the purchase of credible carbon offset projects that are certified by leading standards, such as the Gold Standard and Verified Carbon Standard (VCS), and are geographically diverse.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Our primary strategy for offsetting is avoidance and nature based solutions, with a small share of investments in carbon removal projects.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Through this program we were able to offset all of our residual Scope 1, 2 and 3 emissions.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"In 2022, one of the projects we invested in was the Wakefield Biochar.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Wakefield Biochar converts pulp and paper mill waste to biochar that is Forest Stewardship Council (FSC) certified and listed as USDA BioPreferred.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"The company processes waste ash and produces biochar products used to improve grass yields and land remediation.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Proceeds of the sale of carbon dioxide removal certificates (CORCs) are used to distribute biochar to local farmers, subsidize the cost of biochar for farming and to enable investment in new biochar making facilities.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Besides carbon removal, the project has co benefits such as increased drought resilience, job creation and improved crop yields.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"This project is certified by Puro.earth, a carbon credit program for engineered carbon removal.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"At Booking Holdings, we understand our part to help preserve a world worth experiencing.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As the CO emissions from tourism are predicted to rise by 25% from 2016 levels by 2030, we are committed to building a more sustainable future for travel that maximizes the advantages of tourism and minimizes its harmful effects, taking into account both environmental and social impacts.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"By promoting sustainable travel, we can empower marginalized communities, preserve cultural heritage and ensure that the planet and its people, communities, habitats and wildlife can thrive today and in the future.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We support travel provider partners in showcasing their sustainability efforts, while empowering customers to make more sustainable choices with our products and services.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In late 2022, the Travel Sustainable program for accommodations expanded across Booking.com, Agoda, Priceline and KAYAK, implemented distinct badging levels and grew our program’s footprint to more than 400,000 travel provider partners.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We made it easier for travelers to find more sustainable transport options.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In 2022, we have included emissions information when booking a flight, expanded our rides capabilities to include electric taxis and added a search filter for electric and hybrid rental cars at Booking.com.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"The target applies to Agoda, Booking.com, Priceline and Rentalcars.com.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The commitment applies to four verticals: accommodations, flights, car rentals and rides.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Sustainable offerings for each vertical are defined on page 28.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In 2022, Booking.com surveyed 30,000 travelers and over 3,000 accommodation providers about sustainable travel.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2021, we launched the program's flagship initiative, the Travel Sustainable badge for accommodations a credible, globally relevant sustainability measure that provides information to travelers all over the world looking to make more sustainable travel choices.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The goal of the badge is to make credible recognition of impactful sustainability efforts attainable for more properties worldwide and to provide travelers with a transparent, consistent and easy to understand way to identify a wider range of more sustainable stays, no matter where they want to travel.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The certification and recognition landscape in travel remains complex, and with the Travel Sustainable badge we aim to create a common language to make more sustainable travel choices easier, whether it's for a traveler booking a trip or an accommodation identifying the most impactful sustainability initiatives to implement.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"More than 1.25 million accommodations globally across our platforms have shared at least some information about the sustainability practices they have in place.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Regardless of whether they have met the minimum impact threshold to receive the entry level version of the Travel Sustainable badge, these practices are transparently displayed on their listing page.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In November 2022, Booking Holdings announced the expansion of its Travel Sustainable program across our brands.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"More than 400,000 travel provider partners have been awarded the Travel Sustainable badge.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"More than 1.25 million accommodations globally have shared some information about their sustainability practices.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Building off the credible standards for sustainable accommodation already in place, Booking.com has collaborated with industry experts to identify a set of the most impactful practices for a property to consider in five key areas: waste, energy and greenhouse gases, water, supporting local communities and protecting nature.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This foundational framework is currently further broken down into 32 specific sustainability practices, each of which holds a relative weight in the model.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"As these weights fully depend on the environmental and or social impact of the practices, the model is fit for purpose to identify partners that pursue meaningful sustainability efforts.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"All these calculations come together, with each practice being weighted accordingly and taking local factors into account, to create an overall score for the property’s sustainability practices.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"While the goal has been to create a universal model, operating sustainably means different things in different markets.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For example, water reducing measures in an area prone to drought or sourcing renewable energy options in a country where that’s not yet widely available are weighted as being more impactful.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"These practices and methodologies were assessed and validated by the Independent Advisory Group of the Travalyst coalition.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In 2022, Booking.com introduced three distinct badge levels to the Travel Sustainable program.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Aligned to the principle that reputable, third party certification remains the gold standard in the industry, the new levels to the Travel Sustainable program provide even better visibility and recognition for currently uncertified properties that are taking steps to operate more responsibly with regards to their impact on the environment and their local communities.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The levels help illustrate a clearer pathway for accommodations to work toward eventual certification, especially those that might be at an earlier stage in their sustainability journey.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The aim is also to help encourage and incentivize more accommodations to continue making progress toward that goal.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For travelers, the new badge levels introduced to Booking.com’s Travel Sustainable program have been designed to more clearly demonstrate a broader spectrum of where different accommodations are at on their individual sustainability journeys, as well as the specific measures they are implementing.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The aim of the enhanced structure is also to more clearly highlight those accommodations that have made outstanding commitments and investments on this front to achieve one of more than 40 recognized ecolabels and certifications.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We are always looking for ways to provide travelers with transparent and credible information to make more mindful choices for their trips.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We continue to advance our capabilities with the traveler in mind and have introduced a number of new features to further support this mission.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In 2022, we included emissions information when booking a flight, expanded our rides capabilities to include public transportation and electric taxis in 50 cities, and added a search filter for electric and hybrid rental cars across the Booking.com app and website.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"All this made it easier for travelers to find more sustainable ground transport options for their next trip, with hybrid vehicles and electric options available in 60 countries.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Making it easier for travelers to make more sustainable travel choices is a core part of our strategy.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our goal is to provide travelers with a transparent, consistent and easy to understand way to identify more sustainable travel options.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Towards that end, we have set a target that over 50% of our 2027 bookings will be made on more sustainable offerings.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"This target applies to accommodations, flights, car rentals and rides.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Accommodations: Properties with any level of the Travel Sustainable badge.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Flights: Flights with less than median emissions for that route across dates and flights.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"Rides: Rides in electric taxis or public transportation.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"What we define as more sustainable will evolve over time and reflect our sustainability journey.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The target will include bookings from Agoda, Booking.com, Priceline and Rentalcars.com.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"To date, there is no generally accepted industry definition of sustainable.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our definition recognizes that sustainability is a spectrum and not a binary state.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Booking Holdings understands that building a truly sustainable travel industry will take time, coordination and a concerted effort.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Through our sustainability strategy, we advocate for a more sustainable industry through thought leadership, partnerships across our brands and industry, as well as a reduction of our impact on the environment.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We look to catalyze sustainable travel growth through industry collaboration, by helping to develop and support a unified approach toward sustainability.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"We look for innovative solutions through investments and partnerships, and we help bridge the knowledge gap through data, research and training.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Driving positive change starts with leading by example.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"Booking.com, along with other well established companies from across the travel industry, is a partner of the Travalyst coalition, led by a nonprofit organization of the same name, dedicated to bringing about systems change for more sustainable travel.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"The aim of the coalition is to bring consistent sustainability information to the mainstream, empowering consumers to make better choices for themselves and for the planet.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"With this platform, we have the opportunity to align with peers from across the industry on frameworks and definitions that are further evaluated and validated by independent sustainability experts, in turn establishing credible precedents that the rest of the industry can follow.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Booking.com is a founding partner of the Travalyst coalition, a nonprofit organization that is convening a global alliance of leading travel and tourism providers.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In 2022, Travalyst was joined by Amadeus, Expedia Group, Google and TravelPort, further amplifying the impact of the coalition.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"In 2022, Travalyst continued its alignment on the Travel Sustainable methodology and framework for accommodation that was developed and led by Booking.com, including exploring the next stages to expand the accommodation framework, standardizing definitions for recognized sustainability certifications and laying the foundation for an aligned verification model, in addition to releasing a framework methodology for calculating aviation sector emissions that can be used by all coalition members, including Booking Holdings.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
