text,vague,predicted_vague,Manual Annotation
"Our Global Happy Meal Goals span various facets of nutrition and marketing.
",notESG,generic,
"We understand water challenges are different in each region, so we are focused on doing what matters most locally, where the challenges are greatest.
",ambiguous,generic,
"McDonald’s recognizes that its investors rely on companies’ transparent disclosures about how they manage human rights in their company, their operations and their supply chains to make investment decisions.
",generic,ambiguous,
"We subsequently incorporated Mexico into the goal scope, as Keybridge was already monitoring its progress and it allowed us to maintain tracking against 20 markets.
",specific,notESG,
"Significant interruptions to business operations and performance.
",notESG,generic,
"We also conducted annual independent, third party food safety audits of our suppliers to verify their compliance with our strict food safety and quality standards.
",specific,notESG,
"In the Philippines, we are partnering with Save Philippine Seas on a campaign to find and scale community based plastic waste solutions.
",specific,ambiguous,
"We are currently working to develop site specific emissions reduction plans to achieve our near term (2030) and Net Zero (2040) targets.
",specific,ambiguous,
"Environment and Safety, is reported for ExxonMobil operated assets only.
",notESG,specific,
"Active Modoo takes a child centered approach and offers fun, physical activities to children ages 7 12 by providing positive coaching skills to professional coaches and teachers as well as parents and NIKE employees.
",specific,notESG,
"ExxonMobil also produces a Report on Lobbying, which lists all U.S. organizations of which ExxonMobil or its affiliates are members, membership fees and portions used for lobbying, along with amounts.
",specific,notESG,
"Developing transport and storage projects  In Norway, the Company, together with Equinor and Shell, launched Northern Lights, the first large scale carbon transport and storage project.
",specific,ambiguous,
"Oversight and ownership at this level help ensure the company’s sustainability initiatives are aligned with and are a core component of the overall business strategy.
",ambiguous,generic,
"We worked with a minority owned training and consulting company to facilitate a diverse supplier training program, The Academy.
",ambiguous,notESG,
"The Company will devote half of its investments to maintaining and adapting its upstream and downstream oil operations and the other half to growth in production and energy sales: 20% for LNG, 25% for renewables and electricity and 5% for new molecules (bio fuels, biogas, hydrogen and e fuels).
",generic,specific,
"Committee approved DEI links to executive compensation as part of the annual incentive for our executive officers, which will help drive our 2030 DEI aspirations.
",notESG,ambiguous,
"To make our ambition concrete, Real Impact is grounded in three signature initiatives.
",ambiguous,generic,
"A transition away from fossil fuels may result in volatile energy and fuel prices.
",generic,ambiguous,
"Pfizer Foundation: Proceeds from the March 2020 Sustainability Bond are being used to support the company’s work to increase access to Pfizer’s medicines and vaccines, especially among underserved communities, and strengthen healthcare systems.
",ambiguous,specific,
"Many of our ethics and compliance policies have their own internal online home, and employees are invited by our Chief Ethics Compliance Officer in company wide communications to access frequently asked questions, one page learning aids, and optional mini training modules .
",ambiguous,notESG,
"Emissions associated with incomplete gas combustion, based on a standardized estimate of 2% of volumes flared.
",specific,ambiguous,
"However, we can compare to a global benchmark for a subset of our Inclusion Index (four out of six items).
",notESG,ambiguous,
"Our wholly owned and majority owned subsidiaries generally adopt policies similar to our foundation policies and provide similar training.
",notESG,ambiguous,
"We are continuing to replace older efficiency and the use of hybrid and equipment with hydrofluorocarbon electric vehicles across the system.
",ambiguous,specific,
"By engaging with underrepresented groups, we were able to develop more targeted programming to increase experience of inclusion and belonging.
",ambiguous,notESG,
"Currently 29% of our suppliers by spend have or have committed to develop GHG emis sions reduction targets approved by the SBTi.
",specific,ambiguous,
"As part of ExxonMobil’s approach to enterprise risk management, higher consequence process safety risks and risk management strategies are stewarded by the company’s Management Committee.
",generic,notESG,
"Indicator developed in 2018, with 2015 as the baseline year.
",specific,notESG,
"Pfizer maintains a focused Modern Slavery program as described in our Modern Slavery Statement which outlines our management approach in our supply chain and our operations.
",notESG,specific,
"Valuing Water Finance Initiative to drive investor leadership on valuing water and to broaden investors’ perspective on the role that water plays in many industries’ value chains.
",generic,ambiguous,
"Remaining facilities are on track to be onboarded by the end of 2024.
",specific,ambiguous,
"Company leased fleet vehicles for use by employees in other geographies are not included in reporting at this time.
",ambiguous,notESG,
"Scope 3 (commercial air travel) data used to report GHG emissions from transporting our employees is obtained from reports provided by third parties which includes number of flights and distance data.
",specific,ambiguous,
"For example, in the U.S., we are investing 3.5 million in Community Impact grants in the city of Chicago targeted to Black and Latino youth.
",specific,notESG,
"The sharp rise in sales of electricity (a twentyfold increase over the 2015 2030 period) will make it possible to decarbonize the Company’s energy mix without adding indirect Scope 3 emis sions (Category 11).
",specific,ambiguous,
"Our ambition is to remove barriers to positively change the culture of sport, with a lens toward tomorrow.
",notESG,generic,
"Through our volunteering and giving efforts, our brands continued to address those needs.
",ambiguous,notESG,
"We support local employment initiatives and cultural heritage programs through local content development and strategic community investments.
",generic,notESG,
"In order to continue to be eligible for our Supplier Achieving Excellence program, they began calculating and estimating additional CO2e emissions like Scope 2 and some Scope 3 categories in 2023.
",specific,ambiguous,
"Estimation Methodology NIKE works with project implementation partners and third party engineering firms to quantify volumetric benefits from the water restoration projects.
",specific,ambiguous,
"The output may be reused for polymerisation into new plastics for the production of other chemicals or as an alternative fuel.
",notESG,ambiguous,
"In 2021, Uber moved 4 million pounds of food, water, PPE, and other essential supplies to communities in distress .
",specific,notESG,
"We screen potential suppliers across compliance areas such as sanctions, anti corruption and human trafficking using third party information.
",ambiguous,specific,
"For example, several former apprentices now are factory managers, the top position at our global manufacturing facilities in Horizontina and Catal o.
",specific,notESG,
"In addition, the project facilitated enhanced wetland fringe vegetation growth and improved habitat for a range of species, resulting in feral animal control and increased sightings of critically endangered fauna, such as the plains wanderer, a vulnerable ground dwelling bird.
",notESG,specific,
"Information regarding some known events or activities in 2022 are also included.
",generic,ambiguous,
"Travel Sustainable program for accommodations live on Booking.com, Agoda, KAYAK and Priceline.
",generic,notESG,
"We believe that product donations play an important role in relief and humanitarian emergencies.
",generic,notESG,
"A breakdown of the specific allocation of funds can be found in the table below.
",ambiguous,notESG,
"NIKE is also working to push suppliers in the supply chain to reduce the use of Dimethylformamide (DMFa).
",specific,ambiguous,
"The Company has made a firm commitment to embracing dig ital technology at its sites as a driver in improving energy per formance.
",generic,ambiguous,
"For the purposes of this goal, Europe includes Austria, Azerbaijan, Belarus, Belgium, Bosnia Herzegovina, operated by the Company and its Franchisees that use palm oil.
",notESG,ambiguous,
"We are pursuing this goal, which represents about 20% of our virgin plastic use, through more than 150 lightweighting projects and advancements on use of recycled and renewable materials.
",ambiguous,specific,
"In order to assess a wider scope of risks, both transitional and physical, we assessed the climate risks and opportunities under three scenarios: 1.5 C transition risk (IEA Net Zero) 2.6 C transitional and physical risk (IEA STEPS) and 4 C physical risk (IPCC RCP 8.5).
",specific,ambiguous,
"Micromobility including bikes and scooters is particularly well suited for short trips within dense environments .
",specific,notESG,
"TotalEnergies sup ports an introduction to theater program initiated by Th tre de la Colline that gives high school students in Nantes, Stras bourg, Reims and Paris an opportunity to pair up and partic ipate in a shared artistic experience.
",specific,notESG,
"See our Definitions of Deforestation section for more details on how these are defined.
",specific,notESG,
"Verification of the 2022 GHG data will be completed in 2023.
",specific,ambiguous,
"In certain markets, we’ve achieved a cage free egg supply chain.
",notESG,specific,
"In order to achieve this goal, we continue to leverage partnerships with global gender experts, including long standing relationships with the International Center for Research on Women (ICRW) and the International Finance Corporation (IFC).
",ambiguous,specific,
"Our corporate and ExxonMobil Foundation contributions support a range of programs, including three key areas of concentration: combating malaria, promoting education (in particular STEM education) and supporting women’s economic empowerment.
",ambiguous,generic,
"Over 10 years of collaboration with The Home Depot and Future Foam, we have collectively recycled 58 million pounds of waste.
",notESG,specific,
"As of June 2022, Uber Comfort Electric is available in Los Angeles, San Francisco, San Diego, and Dubai, and we plan to expand to other cities over the course of 2022 .
",specific,notESG,
"This results in certain products being listed that are not actively marketed.
",notESG,ambiguous,
"In addition to Company employees, the over 2 million individuals who work in McDonald’s franchised restaurants around the world are critical to our success, enabling it to drive long term value creation and further its purpose and mission.
",ambiguous,notESG,
"In addition, in a recent Ethics Perception survey, 85% of our employees stated that they have a positive perception of the company ethics culture a 4% improvement over 2019 survey results.
",ambiguous,notESG,
"Obtained new licenses to develop low carbon natural gas projects concerning low carbon LNG in Oman.
",specific,ambiguous,
"A global, cross functional team of subject matter experts is critical to the execution of John Deere’s strategic priorities.
",generic,notESG,
"In 2022, we joined the International Telecommunication Union’s Partner2Connect Digital Coalition initiative, a multi stakeholder platform that mobilizes resources, partnerships, and commitments to foster meaningful connectivity and digital transformation globally, in the hardest to connect communities.
",ambiguous,notESG,
"Today, National Geographic Partners a joint venture between The Walt Disney Company and nonprofit National Geographic Society continues this legacy.
",generic,notESG,
"We’re seeing a huge surge in demand for more responsible apparel, and that’s exciting because there’s a lot we can do.
",notESG,generic,
"We seek opportunities to design new facilities or renovation projects with reduced environmental impact (such as energy consumption, water usage, and waste management) so we can reduce resource demand.
",ambiguous,specific,
"We are proud to work through established non governmental organizations with expertise in managing product donations in connection with humanitarian emergencies.
",generic,notESG,
"When product is no longer deemed sellable but still has a functional life or when unforeseen events impact our communities we work with consolidator nonprofit organizations like Good360, Soles4Souls, Good Sports and Delivering Good to help deliver product where it’s needed, in a responsible manner.
",notESG,ambiguous,
"We aim to integrate this understanding into operational practices and project design, which includes adding technology applications focused on water management.
",generic,ambiguous,
"TotalEnergies allocated 100 million to CCS research and projects in 2021, and by 2030 it expects to be expanding storage capacity by around 10 Mt annually.
",generic,specific,
"In addition, we work to amplify the voices of our customers.
",ambiguous,notESG,
"In 2021, 99% of the Company’s LNG sales went to countries that have committed to carbon neutrality.
",notESG,specific,
"To protect the security, confidentiality, and integrity of user data, we’ve built a robust information security program that is based on the industry recognized ISO 27001 2 framework and includes written policies, processes, and standards designed to protect and secure Uber’s data environment .
",specific,notESG,
"Therefore, references to currently, to date or similar expressions reflect data and information as of December 31, 2022.
",specific,notESG,
"We look to catalyze sustainable travel growth through industry collaboration, by helping to develop and support a unified approach toward sustainability.
",ambiguous,generic,
"Additional information on workforce and Supply Chain Management can be found in our Investing in People report, and Supply Chain Management, respectively.
",generic,ambiguous,
"Signed agreement with Siemens Energy to reduce LNG emissions.
",specific,ambiguous,
"As an example, because of patient privacy laws, data constraints, and contractual obligations, we have used shipping data, financial performance, and third party reports to determine patient counts in support of our KPI measuring the number of patients treated.
",specific,ambiguous,
"One year later, we are publishing this Sustainability Climate 2022 Progress Report to show how our ambition is reflected in the deployment of our strategy and in our investment decisions, as well as to share our 2021 achievements, which demonstrate and stake out the path of our transformation for meeting our 2030 objectives and our ambition of getting to net zero by 2050, together with society.
",ambiguous,generic,
"Supplemental guides are made available to our licensees and vendors to help them work with their facilities on program compliance.
",generic,ambiguous,
"The Coca Cola Foundation to advance their the vision of a World Without Waste a reality. have an active role as a Co Chair of the Coalition’s collection, recycling and education projects.
",ambiguous,generic,
"In addition, we have joined the Science Based Targets initiative and the Climate Pledge, committing to net zero emissions by 2040 .
",specific,ambiguous,
"Held an Employee Resource Group (ERG) Leadership summit.
",specific,notESG,
"As of the end of FY22, 63 facilities were enrolled in this remediation program.
",notESG,specific,
"Our aim is to support public, private and non profit sectors in developing effective policies and programs to incentivize greater implementation of and investment in NBS because water is at the nexus of many goals, including protecting habitats, increasing biodiversity, sequestering carbon and promoting community resilience in the face of changing weather patterns.
",ambiguous,generic,
"ABC News coverage and on air mentions across our networks drove thousands of viewers to UNICEF’s website, raising more than 3 million in a few weeks.
",specific,notESG,
"To honor the legacies of John Deere and the John Deere Foundation, we must constantly challenge ourselves to nd new ways to give more, and give more effectively, to the communities we proudly serve.
",generic,notESG,
"Zealand, Poland, the U.K. and the U.S., which represented our top 10 beef sourcing countries and accounted for over 80% of our global beef supply chain sourced from compliant fisheries as new facility options have become available.
",generic,ambiguous,
"To date, there is no generally accepted industry definition of sustainable.
",generic,notESG,
"This journey requires ongoing determination, and we are committed to developing lasting change through sustainable and measurable actions.
",ambiguous,generic,
"Includes NIKE owned manufacturing facilities and related facilities that are the primary producers of NIKE air units.
",ambiguous,specific,
"Costs relating to property protection and supply chain management are annualized, expected to be incurred annually and are incorporated into existing budgets.
",notESG,specific,
"The remit of the Executive Compliance Committee includes oversight of healthcare quality and compliance business ethics quality and integrity in the discovery, development, manufacturing, and delivery of vaccines and medicines responsible product marketing third party risk management EHS and compliance with anti bribery anti corruption, transparency, product promotion, and other applicable laws and regulations.
",notESG,generic,
"Water Directorate to improve water access and quality and to reduce water losses in Iraq.
",specific,notESG,
"The chart above depicts the various ways in which the Board committees have sustainability related topics in their activities.
",ambiguous,generic,
"This approach is rmly linked to our mission for employees to choose their own path and build their own capabilities by gaining the necessary experience, skill building opportunities, career planning, and leadership development necessary to map out a successful future at Deere.
",generic,notESG,
"High priority regions are defined as countries, biomes, municipalities, postcodes or farms plantations that are identified as areas where deforestation occurs or is projected to occur as determined through regular assessments that rely on the latest supply chain data and trends.
",ambiguous,specific,
"Over 90% of NIKE footwear and apparel is made by factory groups that we have worked with for over 15 years.
",generic,specific,
"To realize this, we are using our reach to encourage millions of kids to eat more fruit and vegetables.
",notESG,generic,
"Successful project execution requires deep insights into the environmental and socioeconomic characteristics of the areas where we operate.
",generic,ambiguous,
"We place particular focus on areas where we are uniquely positioned to make a meaningful, measurable impact.
",ambiguous,generic,
"We have improved our sustainability disclosures to increase transparency and strengthen relationships with stakeholders.
",generic,ambiguous,
"In fiscal 2022, we continued to have approximately 100% of food and beverage advertising on our owned and controlled media platforms oriented to kids and families meet our Nutrition Guideline Policy.
",specific,notESG,
"TotalEnergies has decided to take only proved reserves into account for impairment test ing on these two assets contrary to general practice which considers proved and probable reserves and to approve no new projects for increasing the capacity of these Canadian oil sand assets.
",generic,specific,
"The program is showing signs of success 10 suppliers that we sponsored, who successfully completed the program, have since set or committed to setting their own SBTi approved emissions targets.
",specific,ambiguous,
"Core to IOL’s strategy for collective success and delivering value is advancing social innovation and engagement by meaningfully supporting and contributing to local and Indigenous communities.
",notESG,generic,
"With a shared vision to inspire the next generation and give kids more access to sport, we worked closely with Bebe Vio, Ebrar Karakurt, Ramla Ali, Giannis Antetokounmpo, John McAvoy and Rudy Gobert to develop and support seven programs directly impacting the lives of 6,000 kids from marginalized communities.
",specific,notESG,
"We have engaged with hundreds of advocacy organizations worldwide, including women’s safety groups, road safety organizations, and crime prevention organizations to ensure that we incorporate their perspectives and follow best practices .
",generic,notESG,
"We’re committed to improving the lives of our people, our industry and the planet by putting our customers and employees first, sourcing quality food, reducing waste impact and expanding job opportunities around the world.
",ambiguous,generic,
"The following pages include a few examples of Uber’s contributions to the goals, with an emphasis on our contributions in 2021 and the early part of 2022 .
",specific,ambiguous,
"Review of affiliations based on six key principles  Scientific position: TotalEnergies recognizes the link established by science between human activities, in particular the use of fossil fuels, and climate change.
",specific,generic,
"We’re now able to more accurately align materials attributes (by process) to individual Higg process level data.
",ambiguous,specific,
"Pfizer continues to take decisive steps to improve diversity in our trials and share our insights with others.
",generic,ambiguous,
"Partnered with Veolia to develop CO2 based microalgae cultivation to produce next generation biofuels recycled plastics in automobiles.
",generic,ambiguous,
"Diverse perspectives from internal and external stakeholders inform our ESG strategy and priorities.
",ambiguous,generic,
"The Accord is a first of its kind, comprehensive initiative focused on helping increase access to medicines and vaccines for 1.2 billion people living in 45 lower income countries that have historically been most vulnerable to healthcare inequalities.
",specific,notESG,
"Creating equitable playing fields and breaking down societal barriers for all athletes diverse athlete endorsements increase access to sport.
",notESG,generic,
"Based on this, we recognize action is needed throughout our value chain to help address the complex threat of climate change.
",generic,ambiguous,
"Ethical and transparent corporate behavior by combatting dishonest or fraudulent conduct by those in power, typically involving bribery, corruption and intellectual property infringement.
",specific,notESG,
"As we continue to invest in renewable energy, several sites are using solar photovoltaics as an important strategy lever for reducing emissions and managing cost.
",specific,ambiguous,
"We recognize global climate change as one of the defining issues of our time requiring collective action to mitigate the risks it poses such as increased adverse impacts on human health and decreased access to critical medicines and vaccines due to disruptions in value chains caused by the greater frequency of severe weather.
",ambiguous,generic,
"We have been able to significantly improve the frequency and maturity of our data quality (validation) reviews.
",specific,notESG,
"If the organization spends a majority of their efforts on these communities, we count the entire grant, and if the organization does not spend a majority, we count a proration of the grant.
",specific,ambiguous,
"Each element of OIMS contains overarching objectives and expectations.
",ambiguous,generic,
"During 2021, the number of women working on the Uber platform in the US nearly doubled and surpassed pre pandemic levels .
",notESG,specific,
"More than 400,000 travel provider partners have met the criteria to be awarded the Travel Sustainable badge.
",specific,notESG,
"Throughout 2022, we donated 20 million to RMHC as part of our five year, 100 million commitment.
",notESG,specific,
"The Trust Protocol will allow cotton growers to access markets for sustainably grown cotton and leverage eld practice data they collected in Operations Center to minimize duplicative data entry.
",notESG,ambiguous,
"For more than two decades, TotalEnergies has articulated a Code of Conduct that, over the years, has been revised to reflect international ethics standards.
",notESG,specific,
"ExxonMobil strives to create effective collaborations with its stakeholders our workforce, suppliers and customers, and the communities around the world where we operate.
",notESG,generic,
"Across more than 30 lessons, the training covers resilience, teamwork, communication, self awareness and respecting others.
",specific,notESG,
"Extended Producer Responsibility regulation embracing circularity.
",ambiguous,generic,
"The councils will identify initiatives that reflect diversity in communities which have direct links to our DEI strategy.
",notESG,ambiguous,
"Enhancing opportunities for the worker voice across our System is important to McDonald’s.
",ambiguous,generic,
"This scope excludes noncontrollables (taxes, utilities, rent, aircraft fuel, airport fees, facility leases, donations, bank fees and subscriptions).
",specific,notESG,
