text,llm_responses,scope3,vague
"Partnered with Mercedes Benz via ACC (joint venture between TotalEnergies and Stellantis) to manufacture.
","{'scope3': 'maybe', 'vague': 'generic'}",maybe,generic
"Invested 200 million for high power charge points at more than.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Partnered with Daimler Trucks on decarbonized hydrogen for road transportation in Europe.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Awarded contract for 800 new EV charge points in Ghent.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Announced a major multi energy agreement for the sustainable development of natural resources in Iraq.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Announced a multi energy project for the sustainable development of resources in Libya.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Launched phase 4 of the Mero low cost, low carbon oil.
","{'scope3': 'maybe', 'vague': 'generic'}",maybe,generic
"Awarded production rights for two giant low cost, low emissions project in Brazil oil fields (Atapu and S pia) in Brazil.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Exited from the development of heavy oil in Venezuela.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Doubled recycled plastic production capacity in France.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Formed a partnership with Plastic Omnium to expand the use of.
","{'scope3': 'maybe', 'vague': 'ambiguous'}",maybe,ambiguous
"Partnered with Veolia to develop CO2 based microalgae cultivation to produce next generation biofuels recycled plastics in automobiles.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Signed an agreement on advanced recycling in the United States with Plastic Energy and Freepoint Eco Systems.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Studied an industrial scale green hydrogen project in Scotland with GIG, RIDG, Repsol Sinopec and Uniper slashing methane emissions in the Barnett basin.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"Began planting 1 million trees in Republic of the Congo.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Signed an agreement with AgriProve to develop soil carbon sequestration over 20,000 hectares in Australia.
","{'scope3': 'maybe', 'vague': 'specific (relates to ESG, specifically to Agriculture and Land Use)'}",maybe,"specific (relates to ESG, specifically to Agriculture and Land Use)"
"Partnered with Shell, EBN and Gasunie on the Aramis CCS.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Joined forces with Qnergy to deploy innovative technology for project in the Netherlands.
","{'scope3': 'maybe', 'vague': 'generic'}",maybe,generic
"Joined forces with Air Liquide, Borealis, Esso and Yara to decarbonize the Normandy basin with CCS.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Partnered with Air Liquide to decarbonize H2 at our.
","{'scope3': 'maybe', 'vague': 'ambiguous'}",maybe,ambiguous
"Partnered with GHGSat for satellite based monitoring of offshore methane emissions batteries for electric vehicles.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Established a joint venture with China Three Gorges Corp. to install 11,000 fast EV charge points in China.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"Awarded a concession for the public EV charging network in Antwerp.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Partnered with Safran to decarbonize the aviation industry.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"Signed an agreement to supply renewable electricity to.
","{'scope3': 'possibly', 'vague': 'ambiguous'}",possibly,ambiguous
"Partnered with Shenergy to develop gas sales in China.
","{'scope3': 'possibly', 'vague': 'generic'}",possibly,generic
"Signed agreements with Orange and Microsoft to supply renewable electricity.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"ArcelorMittal Nippon Steel to supply up to 0.5 Mt year of liquefied natural gas in India Signed an agreement to supply renewable power to Merck Co. g n i r e ff r u s n o i s s i m r u s r e m o t s u r u.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Awarded a 1.5 GW offshore concession with GIG in the U.K.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Acquired a 23% interest in Yunlin, a 640 MW offshore project under construction in Taiwan.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Acquired a 20% interest in Adani Green Energy Limited.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Acquired a pipeline of 2.2 GW of solar projects and.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Started up production at the Yunlin offshore wind farm in Taiwan.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Formed partnerships with Simply Blue Group to develop floating offshore wind power in the United States.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Commissioned France’s largest battery storage site in Dunkirk.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Signed agreement with Siemens Energy to reduce LNG emissions.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Signed a technological agreement with Technip Energies.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Obtained new licenses to develop low carbon natural gas projects concerning low carbon LNG in Oman.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Signed an agreement to collect and process gas for power generation in Iraq.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"Started up production of sustainable aviation renewable gas fuels in France.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Transparency: Published all of the studies on the social and environmental challenges of the Tilenga and EACOP projects in Uganda and Tanzania.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Signed an agreement with Engie for the Masshylia green hydrogen project at the La M de biorefinery in France service stations).
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Invested in a project to plant 40,000 hectares of forest to capture more than 10 Mt of CO2 over.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Obtained an LNG bunker supplier license in Singapore.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Signed an agreement with MSC to supply LNG to its future cruise ships.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Signed an R D agreement on zero carbon shipping with the Maersk Mc Kinney M ller Center new EV charge points in Amsterdam.
","{'scope3': 'maybe', 'vague': 'ambiguous'}",maybe,ambiguous
"Acquired a 20% interest in Hysetco, operator of an H2 taxi fleet in Paris.
","{'scope3': 'maybe', 'vague': 'specific'}",maybe,specific
"Completed the first long haul flight powered by sustainable aviation fuel in partnership with Air France KLM, ADP and Airbus.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Partnered with Shenergy to develop gas sales in China.
","{'scope3': 'maybe', 'vague': 'generic'}",maybe,generic
"Signed agreements with Orange and Microsoft to supply.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Signed an agreement to supply renewable renewable electricity power to Merck Co.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Announced a major multi energy agreement for the sustainable development of natural resources in Iraq.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Announced a multi energy project for the sustainable development of resources in Libya.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Launched phase 4 of the Mero low cost, low carbon oil.
","{'scope3': 'maybe', 'vague': 'ambiguous'}",maybe,ambiguous
"Awarded production rights for two giant low cost, low emissions project in Brazil oil fields (Atapu and S pia) in Brazil.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Exited from the development of heavy oil in Venezuela.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Co invested with Air Liquide and Vinci in a 1.5bn fund focused on low carbon H2 infrastructure Doubled recycled plastic production capacity in France.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Partnered with Veolia to develop CO2 based microalgae cultivation to produce next generation biofuels.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Broke ground on the first renewable natural gas unit with.
","{'scope3': 'maybe', 'vague': 'generic'}",maybe,generic
"Formed a partnership with Plastic Omnium to expand the use of recycled plastics in automobiles.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Signed an agreement on advanced recycling in the United States with Plastic Energy and Freepoint Eco Systems.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Studied an industrial scale green hydrogen project in Scotland with GIG, RIDG, Repsol Sinopec and Uniper.
","{'scope3': 'generic', 'vague': 'yes'}",generic,yes
"Partnered with Shell, EBN and Gasunie on the Aramis CCS.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"Joined forces with Qnergy to deploy innovative technology for project in the Netherlands.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Joined forces with Air Liquide, Borealis, Esso and Yara to decarbonize the Normandy basin with CCS.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Partnered with Air Liquide to decarbonize H2 at our.
","{'scope3': 'maybe', 'vague': 'ambiguous'}",maybe,ambiguous
"Partnered with GHGSat for satellite based monitoring of offshore methane emissions.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Partnered with Mercedes Benz via ACC (joint venture between TotalEnergies and Stellantis) to manufacture batteries for electric vehicles.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Acquired 1,500 EV charge points in Singapore Established a joint venture with China Three Gorges Corp. to install 11,000 fast EV charge points in China.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Awarded a concession for the public EV charging network in Antwerp.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Partnered with Safran to decarbonize the aviation industry.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"Signed an agreement to supply renewable electricity to.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Began planting 1 million trees in Republic of the Congo.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Signed an agreement with AgriProve to develop soil carbon sequestration over 20,000 hectares in Australia.
","{'scope3': 'maybe', 'vague': ""specific (relates to soil carbon sequestration which can be considered ESG but not directly related to Scope 3 emissions unless AgriProve's operations are responsible for significant upstream or downstream emissions)""}",maybe,specific (relates to soil carbon sequestration which can be considered ESG but not directly related to Scope 3 emissions unless AgriProve's operations are responsible for significant upstream or downstream emissions)
"Invested 200 million for high power charge points at more than.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Partnered with Daimler Trucks on decarbonized hydrogen for road transportation in Europe.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Awarded contract for 800 new EV charge points in Ghent.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"To all our Stakeholders n 2021, Total became TotalEnergies: A new name for a new ambition to become a major player in the ener gy transition, engaged towards getting to net zero by 2050, together with society.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This choice stems from a deeply held conviction that everyone on the plan et has the right to have access to energy reliable, affordable energy that is a source of economic and social development.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"At the same time, people expect a clear and responsible commitment from businesses to pre serve the climate for future generations.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our Company is transforming to provide tangi ble, sustainable solutions to the dual challenge of more ener gies, less emissions.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In 2021, our shareholders broadly supported this ambition through their vote at the Annual Shareholders’ Meeting.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"One year later, we are publishing this Sustainability Climate 2022 Progress Report to show how our ambition is reflected in the deployment of our strategy and in our investment decisions, as well as to share our 2021 achievements, which demonstrate and stake out the path of our transformation for meeting our 2030 objectives and our ambition of getting to net zero by 2050, together with society.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This report also provides an opportunity for us to explain even more clearly and transparently our climate ambition, our prog ress, the pertinence of our 2030 objectives and our ability to meet or exceed them, and in so doing, show our stakeholders that we are already on the right track.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As we promised, each year the TotalEnergies Board of Directors reviews the relevance of its ambitions, as well as the appropriateness of its strategy and targets for reducing greenhouse gas emissions in the light of progress in international and national policies, new scenar ios concerning decarbonization trajectories, advances in low carbon technologies, action taken by other sectors, including its customers, and other changes in society in terms of energy transition and sustainable development.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"That is why, through this report, we are expanding on the ambi tion we submitted to our shareholders in 2021.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For the first time, we describe our 2050 vision of a net zero TotalEnergies, together with society.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Renewable electricity will account for half of its production new decarbonized molecules from biomass (biofuels and biogas) or from renewable electric ity (hydrogen and e fuels) will represent a quarter and hydro carbons (oil and gas) the remaining quarter, with their residual emissions fully captured, recycled or offset.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"It is based on mea surable objectives to reduce our greenhouse gas emissions in the short (2025), medium (2030) and long (2050) term, covering our industrial operations (Scope 1 2) and the emissions gener ated by our customers’ use of our energy products (Scope 3).
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"We affirm our ambitious target of a more than 30% reduction in greenhouse gas emissions related to sales of petroleum prod ucts (Scope 3 Oil) by 2030 compared to 2015.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"To that, we add phased targets for reducing methane emissions (50% from 2020 levels by 2025 and 80% from 2020 levels by 2030) to move towards zero methane and an objective of less than 0.1 million cubic meters per day for routine gas flaring at our operated assets by 2025, before eliminating flaring com pletely by 2030.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Objectives aligned with society’s net zero ambition.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"According to assessments by respected independent third parties, our target of a 40% reduction by 2030 in our net Scope 1 2 emissions compared to 2015 is in line with the commit ments made by countries with a net zero pledge, including the European Union with its Fit for 55 package.
","{'scope3': 'yes, as Scope 1,2 emissions include Scope 3 upstream and downstream emissions', 'vague': 'specific, as it mentions a specific reduction target and refers to respected independent third-party assessments'}","yes, as Scope 1,2 emissions include Scope 3 upstream and downstream emissions","specific, as it mentions a specific reduction target and refers to respected independent third-party assessments"
"I am also pleased that Transition Pathway Initiative (TPI) announced that TotalEnergies is one of three oil and gas firms that have set emissions reduction targets that are ambitious enough to reach net zero by 2050 and to align with TPI’s 1.5 C benchmark.
","{'scope3': 'not directly mentioned', 'vague': 'specific (relates to ESG - net zero emissions target)'}",not directly mentioned,specific (relates to ESG - net zero emissions target)
"This report also includes our analysis of the International Ener gy Agency’s normative Net Zero Emissions scenario, which some observers are now using as guidance.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Even though we do not think that our societies can match the scenario’s trend in the short term, we do share the 2050 end point described by the IEA for carbon neutrality.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For this reason, we have decided to take the scenario into account, for testing the resilience of our portfolio and projects and ensuring the strength of our bal ance sheet.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our contribution to the development of renewable energies, as called for in the Net Zero Emissions scenario, accelerated in 2021.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"Our investments in renewables and electricity account ed for 25% of total investments, which is more than the 20% we forecast one year ago.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Combined with our investments in new molecules, this means that soon more than 30% of our invest ments will be devoted to decarbonized energy.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"In the interests of full disclosure, we are including the taxonomy of our opera tions for the first time, ahead of the new European regulations.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our ambition is backed by a clear and disciplined investment strategy, with the objective of channeling half of our future investments to growing renewable energies, gas and new decarbonized molecules.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"The other half will be used to maintain our traditional production base.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In this way, we will be able to gradually build up an integrated portfolio of multi energy assets that all share two crucial criteria for ensuring a commodity pro ducing company’s sustainable profitability in a period of energy transition: low production costs and low CO2 emissions.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The results obtained in 2021 back up our ambition.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We installed 10 GW of renewable electricity capacity, increased our LNG sales to 42 Mt (99% of which sold to net zero coun tries), reduced the share of our sales from petroleum prod ucts to 44% of the total from 65% in 2015, lowered emissions from our operated facilities (Scope 1 2) by 20% from 2015 and reduced the carbon footprint of our products sold in Europe by 14% compared to 2015.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"All of these results allow us to deliver energy to our customers that has a more than 10% lower life cycle carbon intensity than in 2015.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"In this report, you will also find, for the first time, an assessment of the Scope 1 2 emis sions of our non operated assets and our emissions on an equity share basis, as well as the geographic spread of our Scope 1, 2 and 3 emissions by region.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"In carrying out our transformation and advancing on the path to net zero, we are not alone.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We are working to engage customers, suppliers, researchers, start ups and others.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In 2021, we multiplied our low carbon collaborations and partnerships and we intend to drive further progress with all the players in our value chain, especially in new mobilities.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"Since our climate ambition is intrinsically linked to our sustain able development ambition, you will also find a discussion of our efforts to have a positive impact, initiated with our stake holders, based on dialogue and transparency.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We affirm our commitment to offering our employees around the world a safe, inclusive and stimulating work environment where they can make the most of future oriented skills.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"I would like to salute their engagement: we have them to thank for allowing us to achieve the best accident rate in our sector in 2021.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We devel oped this new ambition together in the midst of the Covid 19 pandemic and we are deploying it together within the frame work of a just transition.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Respect for Each Other, and therefore for human rights, is a cor nerstone of our Code of Conduct.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In this report, we give tangible examples to describe how we ensure respect for human rights in all our operations and how we work with communities to cre ate value in our host territories.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Care for the environment is also a key focus of our sustainable development approach.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This report details our environmental requirements and our new objectives for biodiversity, for man aging scarce water resources and for the circular economy.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"On the one hand, Russia’s armed aggression against Ukraine threatens people, European stability and the energy market’s equilibrium.
","{'scope3': 'no', 'vague': 'not ESG related'}",no,not ESG related
"On the other, the Intergovernmental Panel on Climate Change’s new report powerfully reminds us of the climate emergency.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In this environment, explaining our ambition and showing how it is being put in place takes on its full meaning.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Guided by our val ues and backed by our talents, I am confident in our ability to keep moving forward, to resolutely drive the transformation of our industrial model and to help, with our stakeholders, shape the just transition to which our societies aspire.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Governance: A Board of Directors on the Front Line orporate stakeholders have increas ingly high expectations concern ing sustainable development.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For TotalEnergies, this is an opportunity more than a constraint, and that’s why we have put sustainability at the heart of our strategy.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"I’m not just talking about climate, which is the main driver of our transformation, but also about people’s well being, care for the environment and creating value for society.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our busi ness strategy, like our net zero ambition, is part of a transition dynamic that involves society as a whole.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We are delighted that businesses, governments, consumers and citizens have grasped the scale of the sustainability challenges.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"TotalEnergies’ mission is to meet people’s growing need for energy, and its ambition is to produce increasingly low car bon energies that remain affordable and reliable.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The Compa ny is undergoing a profound transformation to get to net zero by 2050, together with society.
","{'scope3': 'generic', 'vague': 'ambiguous'}",generic,ambiguous
"We are on the right track to meet our objectives for 2030, not only for renewable electricity (35 GW in 2025, 100 GW in 2030), but also more broadly for all our operations.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The entire Company is working to develop new energies and reduce the lifecycle carbon intensity of the prod ucts we provide to our customers.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"The Company supports its employees by giving them the resources they need to make this transformation an opportunity for their own development.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The Board of Directors challenges and approves the strategy proposed by the Company’s management.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"It plays a front line role in supporting and accompanying the transformation.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The Board’s make up illustrates TotalEnergies’ convictions con cerning openness and diversity.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We have five different nation alities represented among our 14 Directors, six women and nine members who have specific competencies on climate sustainable development issues.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As Lead Independent Director, I meet with investor groups on a regular basis.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The debate over climate and energy sometimes inspires contradictory demands.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We need to listen carefully and understand those demands to determine the best bal ance in terms of needs and timing.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The sudden end to oil that some dream of would not be possible or desirable given the current state of demand.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"My monthly conversations with Pat rick Pouyann give me a close up view of how the Company and the markets are evolving and insights to share with our Directors and stakeholders.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In 2021, the Board of Directors defined TotalEnergies’ ambi tion and 2030 objectives for sustainable development and the energy transition toward net zero, together with society, and presented them to our shareholders so they could voice their opinion.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This ambition has received massive support from shareholders, with 92% favorable.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"After talking to Christiana Figueres in 2020, the Board invited Fatih Birol, Executive Direc tor of the International Energy Agency (IEA), in 2021, in order to get a better view of the underlying factors in the IEA’s Net Zero scenario.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In 2021, we added climate target related performance crite ria to other sustainable development criteria (HSE, CSR, HR and diversity) in the determination of the Chairman and CEO’s variable compensation.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"The Oil Gas growth criterion in this calculation was replaced by two criteria concerning his steer ing of the transformation and profitable growth in renewables and electricity.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The granting of performance shares includes a criterion relating to the decline in indirect (Scope 3) emis sions from the end use of energy products by TotalEnergies customers.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"This multi energy strategy requires a long term view, and it will take time for TotalEnergies’ new strategic direction to pro duce its full effects.
","{'scope3': 'no', 'vague': 'neutral'}",no,neutral
"During its annual strategic reviews, the Board will examine the appropriateness of this strategy and its targets for reducing greenhouse gas emissions in the light of progress in international and national policies, new decar bonization scenarios, advances in low carbon technologies, action taken by other sectors including our customers with our active support and other changes in society concerning the energy transition.
","{'scope3': 'generic', 'vague': 'ambiguous'}",generic,ambiguous
