text,llm_responses,scope3,vague
"For instance, in our Ag Turf Division we launched a groundbreaking planting technology called ExactShot that reduces the amount of starter fertilizer needed during planting by more than 60%.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"We also introduced several new products and upgrades that support our Construction Forestry customers in working smarter, safer, and more sustainably.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our P Tier line of excavators, optimized for increased productivity, ef ciency, and reduced CO2e emissions, has been well received in the market.
","{'scope3': 'maybe', 'vague': 'generic'}",maybe,generic
"We expanded our Operations Center to include the Wirtgen Group’s equipment, unlocking enhanced operational analysis, monitoring, and project planning opportunities for our roadbuilding customers.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Looking ahead, we are excited about our upcoming X Tier Loaders with E Drive technology, slated to deliver fuel savings, emission reductions, and productivity gains for our customers in 2024.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"To support our Leap Ambition of reducing variability in our performance by achieving 10% recurring revenue by 2030, we are implementing a Solutions as a Service business model.
","{'scope3': 'no', 'vague': 'not ESG related'}",no,not ESG related
"This shift involves transitioning certain solutions from a traditional upfront, one time purchase model to a renewal based structure.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This bene ts our customers by shifting cost from the up front sale to technology utilization, paying for what their operation needs, and delivering continuous improvement of products over time.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Further demonstrating our commitment to sustainability, we are actively engaged in research and development, as well as collaboration efforts, to reduce our downstream greenhouse gas emissions.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"For example, we are enhancing our best in class engine technology to achieve higher levels of ef ciency and sustainable performance.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Additionally, we are driving advancements in battery technology beyond our strategic investment in Kreisel Electric, including exploring full battery electric or hybrid applications across our product lines.
","{'scope3': 'yes', 'vague': 'ambiguous'}",yes,ambiguous
"And our belief in biofuels as a signi cant opportunity to drive additional demand for the grains and oilseeds our customers grow, while also fostering a sustainable future for our larger products, further guides our investments and advocacy to enable agriculture to play a critical role in making transportation more sustainable.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We are incredibly proud to celebrate the 75th anniversary of the John Deere Foundation and re ect on its impactful contributions.
","{'scope3': 'no', 'vague': 'not related to ESG'}",no,not related to ESG
"Over the years, the Foundation has invested more than 400 million in nonpro t organizations, with a remarkable 100 million given in just the last ve years.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This support extends to our Deere home communities and farmers around the world, making a difference where it matters most.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In 2023, the John Deere Foundation announced three of the largests grants in its 75 year history by directing 19 million toward initiatives focused on eliminating hunger by increasing food access, uplifting resource constrained farmers, and strengthening global food systems.
","{'scope3': 'no', 'vague': 'not related to ESG'}",no,not related to ESG
"These efforts are aimed at creating sustainable solutions and making a positive impact on food security worldwide.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Whether through donating to food banks for emergency hunger assistance or volunteering with local organizations, the entire Deere family is committed to working together to create meaningful impact.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"That’s why it was a true honor for us to be recognized for the second consecutive year as one of the 50 most community minded companies in the U.S. by Points of Light, the world’s largest nonpro t dedicated to accelerating people powered change.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"It goes without saying that none of these accomplishments would have been possible without the dedication and passion of our remarkable employees.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"They are the driving force behind our success, and we are grateful for their continued commitment.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This multiyear strategy is focused on inspiring and engaging our employees, building our global talent pipeline, refreshing our culture, and ensuring we have the data, technology, and insights to effectively manage and develop our global workforce.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"What’s more, we remain fully committed to fostering an inclusive workplace where everyone feels welcomed and valued, and where every individual can thrive and contribute their unique perspectives and talents.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As I re ect on our achievements in 2023, many of which are included in this Business Impact Report, I am proud of the outcomes we achieved together.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Looking to the future, we are fully committed to creating lasting value for all stakeholders, delivering exceptional customer outcomes, and driving sustainable practices that make a meaningful difference.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"And while markets may uctuate due to global economic uncertainties, geopolitical instability, and weather variability, I am excited about what lies ahead for us.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"I truly believe that we have the power to make a signi cant positive in uence on our stakeholders and the world around us.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Finally, thank you for your continued support and belief in our company.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"As we move ahead, rest assured we will continue to push boundaries, innovate, and strive to achieve our higher purpose: We run so life can leap forward.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"JOHN DEERE is uniquely positioned to deliver both ECONOMIC and SUSTAINABLE VALUE for our customers through ADVANCED TECHNOLOGY and SOLUTIONS.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Engaged acres is one of the foundational measures of customers’ use of the John Deere Operations Center (our online farm management system).
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"It re ects the number of unique acres with at least one operation pass documented in the Operations Center in the past 12 months.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Highly Engaged Acres include documentation of multiple production steps and the use of digital tools to complete multiple, value creating activities over a 12 month period.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"John Deere technology solutions or sustainable practices over a 12 month period.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"In 2020, the Smart Industrial Operating Model was designed and announced with the intention to propel our success and customer success to the highest levels.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Since then, the operating model has continued to produce strong results, allowing us to focus on our objective of making our customers more profitable, more productive, and operating in a more sustainable way.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We also sharpened our focus on our business portfolio through disciplined capital allocation and made significant strides in technological advancements.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The operating model is designed around the needs of our customer and organized by production systems the way our customers work.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Additionally, a centralized technology stack ensures streamlined operations, while a heightened emphasis on delivering value throughout the product lifecycle underscores our commitment to customer satisfac tion.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"With a legacy of manufacturing excellence, the operating model emphasizes the importance of speed, accountability and driving continuous improvement.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our Leap Ambitions the outcomes by which we measure success showcase the capabilities of our Smart Industrial Operating Model.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"These metrics serve a crucial purpose in demonstrating the value we create for our customers.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Importantly, they also highlight the significant growth potential that lies ahead for John Deere, identifying an incremental addressable market opportunity of at least 150 billion USD.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Delivering and scaling our Solutions as a Service business model will deliver another leap forward for our customers, our dealers, and John Deere.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The Solutions as a Service customer value proposition has three key elements: 1) It will allow lower up front costs to engage our world class technology, 2) It will allow customers to only pay for the technology they use, and 3) The technology will get better over time.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This model will closely align and deepen our relationship with customers, allowing us to scale our technology across more acres, more quickly, while bringing cutting edge technology not just to new machines, but to the entire installed base via retrofittable options.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"A Solutions as a Service business model will deliver more consistent revenue and profit stability, as well as allow us to reinvest in our solutions more consistently, continually improving the value we can create for our customers.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Ultimately, scaling this model will be the key to achieving our goal of 10% recurring revenue by 2030 and delivers on the promise of significant value creation for John Deere shareholders.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We are revolutionizing the ways our customers can maximize the capabilities of their equipment, investing only in the technology and services that deliver the greatest value, while at the same time delivering steady revenue streams for our dealers and Deere.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The amounts shown in the charts above represent millions of dollars (USD).
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Our business strategy emphasizes achieving superior operating and nancial performance through aggressive goals for operating margin, asset management, and value creation from disciplined capital allocation.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The metrics we use to measure progress towards these goals include OROS (Operating Return on Sales), OROA (Operating Return on Assets), and SVA (Shareholder Value Added).
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"OROS (Operating Return on Sales) Our focus on increasing customer value through technological innovation, engineering and manufacturing excellence, and a world class dealer channel will lead to structurally improved nancials for our customers and Deere.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"OROS (for our equipment operations) demonstrates the commitment to deliver operating margin growth, re ected in our Leap Ambitions to expand equipment operations OROS to 20% at mid cycle by 2030.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"OROA (Operating Return on Assets) In support of our continued focus on sound investment of capital and asset utilization, Deere equipment operations are targeting an operating return on operating assets (OROA) of 30% at mid cycle sales volumes and equally ambitious returns at other points in the cycle.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Operating Return on Operating Assets (OROA), Operating Return on Sales (OROS), and Shareholder Value Added (SVA) are non GAAP (general accepted accounting principles) measures.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For reconciliations of OROA and OROS to the most directly comparable GAAP measure (net income attributable to Deere Company), and for more information on SVA and reconciliations of SVA, see page 10.
","{'scope3': 'no', 'vague': 'not relevant to ESG'}",no,not relevant to ESG
"The difference between operating pro t and pretax cost of capital, SVA is a metric used by John Deere to evaluate business results and measure sustainable performance.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We believe we can realize sustainable improvement in SVA through strong margins delivered in connection with the evolution of the agriculture and construction industries.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Through the rapid introduction of new technologies and a disciplined approach to the allocation of capital for research and investment dollars, we believe we can target the most promising and pro table opportunities unlocking value for our customers.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The information presented is for the years ended October 29, 2023 October 30, 2022 and October 31, 2021.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The amounts shown in the charts above represent millions of dollars.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"SVA is a non GAAP measure that management believes is an appropriate measure for the performance of our businesses.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"SVA is, in effect, the pretax pro t left over after subtracting the cost of enterprise capital.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"We are aiming for a sustained creation of SVA and are using this metric for various performance goals.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Certain compensation is also determined on the basis of performance using this measure.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For purposes of determining SVA, each of the equipment segments is assessed a pretax cost of assets, which on an annual basis is approximately 12% of the segment’s average identi able operating assets during the applicable period with inventory at standard cost.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Management believes that valuing inventories at standard cost more closely approximates the current cost of inventory and our investment in the asset.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The Financial Services segment is assessed an annual pretax cost of approximately 13% of the segment’s average equity.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The cost of assets or equity, as applicable, is deducted from the operating pro t or added to the operating loss of each segment to determine the amount of SVA.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Identi able assets assigned to the operating segments are those the units actively manage, consisting of trade receivables, inventories, property and equipment, intangible assets, and certain other assets.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The graph compares the cumulative total returns of Deere Company, the Standard Poor’s (S P) Construction Machinery Heavy Transportation Equipment Index, the S P 500 Industrials, and the S P 500 Stock Index over a ve year period.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"It assumes 100 was invested on October 26, 2018, and that dividends were reinvested.
","{'scope3': 'no', 'vague': 'notESG'}",no,notESG
"The S P 500 Industrials comprises those companies included in the S P 500’s that are classi ed as members of the GICS industrials sector, and therefore, have many characteristics similar to us, regardless of the speci c types of products they offer.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The S P 500 Construction Farm Machinery Index is made up of four companies Caterpillar (CAT), Cummins (CMI), Paccar (PCAR), and Wabtec (WAB).
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The stock performance shown in the graph is not intended to forecast and does not necessarily indicate future stock price performance.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Deere Company returned 73% of cash ow from equipment operations to shareholders in FY2023.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Deere Company has returned 71% of cash ow from equipment operations to shareholders over the past 3 years (FY2021 FY2023).
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Partnering with customers through engaged, highly engaged, and sustainably engaged acres to further unlock innovation opportunities for farmers.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Crop protection and nitrogen use ef ciency goals to drive productivity and reduce ag customer CO2e emissions.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"Smart solution adoption targets to deliver more precision and unlock more productivity and pro tability on the jobsite for earthmoving, roadbuilding, and forestry customers.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Surpassed 1 million acres covered using See Spray technology, which helped farmers achieve nearly two thirds reduction in solution, saving over 8 million gallons1.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Launched Milk Sustainability Center through a strategic partnership with DeLaval.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Enabled U.S. customers to easily sign up for programs incentivizing sustainable practices with the launch of Sustainability Section in John Deere Operations Center.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Expanded smarter spray offerings with acquisition of Smart Apply Inc.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Expanded John Deere Operations Center to Construction, Forestry, and Roadbuilding production systems.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Leveraged Precision Ag technologies to unlock ef ciencies in Hay and Silage Production.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Announced ExactShot in furrow liquid fertilizer system at CES 2023.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We are strategically collaborating with our customers and other stakeholders within the dairy and livestock value chain to unlock opportunities to produce more with less.
","{'scope3': 'maybe', 'vague': 'generic'}",maybe,generic
"Over the past two decades, milk production has grown by 53% while livestock production increased 45%.1 As the desire for more protein rich diets spreads throughout the world, those upward trends are not slowing down.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Despite great productivity gains, these increases come with environmental challenges that producers are addressing through partnerships, innovation, and overall stewardship of the land.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"For example, the European Union (EU)’s Green Deal has set goals for reducing nutrient losses by at least 50% and reducing fertilizer use by at least 20% by 2030.2 and CO2e reductions are aimed at helping our customers navigate requirements like those in the EU’s Green Deal while also meeting their overall business and sustainability goals.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"John Deere continues to offer an expanding suite of solutions to customers to achieve their optimal outcomes using advanced technologies integrated with core John Deere products.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Dairy is a unique industry that intertwines crop and animal production, to ultimately create nutrients, milk, cheese, yogurt, and meat.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The data and management of dairy products is complicated, involving many steps to manage the welfare of the cows, along with the production of the crops to feed them.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"That’s why we’ve formed a strategic partnership with DeLaval to launch the Milk Sustainability Center (MSC) in an effort to create opportunities for dairy farmers to manage data more ef ciently while unlocking more sustainable and pro table outcomes.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"MSC is built and powered by Dairy Data Warehouse BV (DDW), a Dutch company offering data solutions for sustainable dairy.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Dairy farming is perhaps the most complex agricultural business today with no system integration between crop and animal performance.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Dairy farmers often use ve to seven different, non connected software solutions to run their business.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The MSC will enable dairy farmers to calculate, benchmark, simulate, and optimize nutrient use ef ciency (NUE) and CO2e for sustainable and pro table decision making.
","{'scope3': 'yes', 'vague': 'specific'}",yes,specific
"MSC is a cloud based tool for desktop and mobile devices that offers the combination of eld and barn data aimed at allowing producers access to comprehensive data to make the best holistic decisions for their operations.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"MSC is designed to excel in offering the linkage of continuous data ow between the animal and the eld.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"We expect this will provide key insights and opportunities for customers to maximize pro t and minimize the environmental milk production footprint.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Individual herd and eld data can be automatically aggregated to minimize manual entry.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"MSC can provide recommendations, benchmarking, simulation, and economic analysis in real time.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"MSC will be launched rst in the U.S., Canada, and select European countries.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"MSC relies on a con dence indicator to show how granular and accurate the data input is while providing recommendations to optimize pro t and minimize emissions.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Within MSC, data can be aggregated in a carbon footprint and nutrient management dashboard to display a producer’s operation.
","{'scope3': 'generic', 'vague': 'neutral'}",generic,neutral
"The dashboard can also show the results for the most important nutrients (nitrogen, phosphorus, and potassium) on a dairy farm and how ef ciently they are being used based on various scales like total farm, total elds, and total barns.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Nutrient use ef ciency is a great indicator that can help reduce environmental impact and maximize pro t.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"MSC uses the power and insight of data to give dairy farmers an overall view of their operation and then allows them to dig as deep as they want into each aspect of their business.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"It not only can keep them seamlessly connected to what’s happening, but layers information so they can make informed decisions.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Harvesting hay is a multistep process involving multiple passes through the eld to mow the grass, spread it out to dry, rake it, and nally to either bale or chop it before it is collected from the eld.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"These steps often take place in smaller elds with complex borders, and each production step requires dedicated equipment with varying track spacing and working widths.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"These dynamics lead some producers to create individual path plans for these steps or in most cases manually steer.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"However, that can be a time consuming process, leaving the producer with the likelihood of soil damage and contamination to the crop.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"AutoPath is an existing John Deere technology that can help farmers be more ef cient in their guidance planning and management.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This solution can improve ef ciencies in the complicated harvest of a key food source for livestock and dairy cows.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"By using AutoPath, an operator can create a full eld guidance plan that aligns with a selected eld boundary within two minutes and save the plan as a template for reuse or modi cation in the future.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"AutoPath technology can ef ciently map and connect the path plans of these multiple passes, which may lead to lower input costs, reduced operator fatigue, and potentially improved yield and crop quality.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"On top of the bene ts of AutoPath, this technology can offer hay producers the opportunity to adopt and apply Controlled Traf c Farming (CTF) strategies in grassland (hay and silage) management.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"CTF practice reuses the wheel tracks for multiple passes in hay and silage production.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Reduction of wheel traf c in the eld by 10% compared to manual steering.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Job ef ciencies can increase by 14% from reduction in machine overlap.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Offboard generation of the path plan can reduce in eld setup by up to 90%.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Fuel consumption can decrease by up to 10%, potentially reducing CO2e emissions by nearly 15%.
","{'scope3': 'maybe', 'vague': 'ambiguous'}",maybe,ambiguous
"Precision agriculture technologies also play a key role in corn silage production.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Corn silage is created by harvesting a corn crop and preserving it.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Corn silage serves as a year round high energy feed source for cattle in dairy and livestock operations.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Using Deere technologies such as AutoTrac , AutoPath, iAIG, John Deere Operations Center , AutoSetup , HarvestLab 3000, and StarFire RTK receiver in these steps can unlock key nancial and sustainable outcomes within the production of corn silage.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Manure application: Farmers apply manure to the eld, providing a natural, organic source of nutrients to enable crop growth.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"HarvestLab 3000 near infrared (NIR) sensors allow for more uniform distribution of these nutrients when applying them to a eld.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"A pass to complete slurry injection can be combined with a strip tillage pass, combining two passes into one on the eld.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Harvest: HarvestLab 3000 can detect key characteristics of the crop such as moisture and crude protein to better understand the performance of the silage being harvested.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This can not only unlock the best quality within the crop but allows for maps to be created to calculate nitrogen removal and use ef ciency for future manure application optimization.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"John Deere not only provided solutions, but their technology has helped eliminate a lot of guesswork and headaches.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"I won’t say the work is easy now, but it is certainly easier and the results are better yields.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"European Commission, Sustainable use of nutrients, https: agriculture.ec.europa.eu sustainability environmental sustainability low input farming nutrients_en : :text As%20part%20of%20the%20 Farm%20to%20Fork%20strategy,reduction%20in%20fertiliser%20use%20of%20at%20least%2020%25 (2023).
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Estimated emissions savings is based on fuel consumption savings for the machine and the savings based on yield increases for the grassland.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Deere corn silage system and traditional corn silage system on 20 hectares.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Deere corn silage system involves mulching, cover crops, strip till and slurry injection application at once, band spraying, and mechanical weed control.
","{'scope3': 'no', 'vague': 'ambiguous'}",no,ambiguous
"Nitrogen use ef ciency is de ned as nitrogen applied divided by yield of crop.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"Nitrogen applied Crop Yield (US) or Nitrogen removed with the Crop Nitrogen Applied (EU).
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Assumption that 100% CO2 emissions in the traditional system, 28% can be reduced through the Deere corn silage system due to less inorganic fertilizer needing to be used.
","{'scope3': 'no', 'vague': 'specific (relating to reduction of CO2 emissions in a specific system, not a direct statement about Scope 3 emissions)'}",no,"specific (relating to reduction of CO2 emissions in a specific system, not a direct statement about Scope 3 emissions)"
"This assumption considers that in corn production fertilizer can represent an estimated 75% of greenhouse gas emissions.
","{'scope3': 'yes', 'vague': 'generic'}",yes,generic
"This estimation is based on three year average results for a model farm covering 6,500 acres producing corn and soybeans in the United States.
","{'scope3': 'maybe', 'vague': 'specific'}",maybe,specific
"The key to agricultural sustainability lies in improving soil health, as soil is the farmer’s most valuable asset.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Sustainable practices, like maintaining cover crops, reducing or eliminating tillage, and reducing synthetic fertilizer, can lead to healthier soil and more resilient yields over time.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"They can also unlock reductions in carbon emissions and soil erosion while providing improvements to water quality, nitrogen, and crop protection ef ciency.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"These practices can take three to ve years to show bene ts and often demand more labor.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"To make changes to incorporate sustainable practices it’s critical for precision ag technology to do more with less, and for the market to support farmers nancially.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"To help customers access programs that may unlock value for sustainability, we launched the Sustainability Section in the Operations Center.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"This is a feature that allows U.S. ag customers to easily understand, compare, and sign up for third party programs.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"For the 2023 growing season, the Operations Center featured two programs: Cargill RegenConnect and U.S. Cotton Trust Protocol (Trust Protocol).
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"Cargill’s program focuses on U.S. growers of corn, cotton, wheat, soy, sun owers, ax, and or sorghum.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
"The one year program allows customers to get paid for acres with new or expanded sustainable practices such as cover crops and reduced tillage.
","{'scope3': 'no', 'vague': 'generic'}",no,generic
"The Trust Protocol will allow cotton growers to access markets for sustainably grown cotton and leverage eld practice data they collected in Operations Center to minimize duplicative data entry.
","{'scope3': 'no', 'vague': 'specific'}",no,specific
